case_no,campaign_year,source_file,source_subset,configuration,absorber_beds,intercoolers,absorber_lean_solvent_flow_kg_h,absorber_lean_solvent_temp_C,absorber_lean_loading_mol_co2_per_mol_mea,absorber_nominal_lean_solvent_mea_weight_fraction,absorber_flue_gas_flow_kg_h,absorber_inlet_gas_temp_C,absorber_inlet_gas_co2_mol_pct,absorber_pressure_kPa,stripper_rich_solvent_flow_kg_h,stripper_inlet_solvent_temp_C,stripper_outlet_solvent_temp_C,stripper_rich_loading_mol_co2_per_mol_mea,stripper_rich_mea_weight_fraction,stripper_operating_pressure_kPa,stripper_reboiler_duty_kW,capture_liquid_side_pct,capture_gas_side_pct,original_model_capture_pct,composition_uncertainty_model_capture_pct,lean_loading_original_data,lean_loading_original_model,lean_loading_composition_uncertainty_data,lean_loading_composition_uncertainty_model
K11,2014,Morgan et al. - 2018 - Development of a Rigorous Modeling Framework for Solvent-Based CO2 Capture.md,2014 K campaign,"3 beds, 2 intercoolers",3,2,6804.0,40.83,0.161,0.293,2237.0,44.4,10.01,107.2,7241.0,107.4,119.88,0.378,0.294,182.67,425.0,91.63,99.75,99.93,99.92,0.161,0.166,0.169,0.167
K12,2014,Morgan et al. - 2018 - Development of a Rigorous Modeling Framework for Solvent-Based CO2 Capture.md,2014 K campaign,"3 beds, 2 intercoolers",3,2,6804.0,40.92,0.16,0.293,2231.0,43.24,8.24,106.37,7173.0,109.2,120.56,0.341,0.294,183.81,422.0,92.47,99.61,99.93,99.92,0.16,0.164,0.168,0.165
K13,2014,Morgan et al. - 2018 - Development of a Rigorous Modeling Framework for Solvent-Based CO2 Capture.md,2014 K campaign,"3 beds, no intercooling",3,0,6804.0,41.93,0.164,0.303,2238.0,42.09,9.35,107.56,7078.0,107.6,120.65,0.36,0.307,183.19,419.0,89.84,97.98,98.36,98.11,0.164,0.173,0.172,0.174
K14,2014,Morgan et al. - 2018 - Development of a Rigorous Modeling Framework for Solvent-Based CO2 Capture.md,2014 K campaign,"3 beds, 2 intercoolers",3,2,8845.0,40.41,0.224,0.303,2895.0,47.67,9.01,107.86,9393.0,104.8,119.35,0.42,0.302,184.02,420.0,92.89,98.27,99.32,98.88,0.224,0.24,0.235,0.243
K15,2014,Morgan et al. - 2018 - Development of a Rigorous Modeling Framework for Solvent-Based CO2 Capture.md,2014 K campaign,"3 beds, 2 intercoolers",3,2,8845.0,40.6,0.224,0.313,2908.0,42.83,9.07,108.08,9349.0,103.5,119.32,0.413,0.313,182.0,420.0,91.72,99.42,99.44,99.11,0.224,0.244,0.235,0.247
K16,2014,Morgan et al. - 2018 - Development of a Rigorous Modeling Framework for Solvent-Based CO2 Capture.md,2014 K campaign,"3 beds, 2 intercoolers",3,2,4128.0,44.45,0.124,0.329,2903.0,45.42,9.21,108.7,4347.0,98.6,122.94,0.476,0.349,181.86,419.0,84.74,93.54,87.54,86.06,0.124,0.119,0.13,0.119
K17,2014,Morgan et al. - 2018 - Development of a Rigorous Modeling Framework for Solvent-Based CO2 Capture.md,2014 K campaign,"2 beds, no intercooling",2,0,6804.0,42.03,0.168,0.307,2240.0,41.03,9.19,108.12,7051.0,107.7,120.49,0.354,0.314,181.94,418.0,88.92,97.61,98.18,97.88,0.168,0.173,0.177,0.174
K18,2014,Morgan et al. - 2018 - Development of a Rigorous Modeling Framework for Solvent-Based CO2 Capture.md,2014 K campaign,"1 bed, no intercooling",1,0,6804.0,42.24,0.141,0.302,2271.0,46.07,10.19,109.18,7099.0,105.9,120.38,0.349,0.304,184.06,425.0,85.72,92.85,94.36,93.71,0.141,0.168,0.148,0.169
K19,2014,Morgan et al. - 2018 - Development of a Rigorous Modeling Framework for Solvent-Based CO2 Capture.md,2014 K campaign,"1 bed, no intercooling",1,0,11793.0,40.9,0.184,0.278,1440.0,46.18,11.0,108.02,12161.0,107.9,118.0,0.276,0.281,183.76,427.0,93.18,98.21,98.91,98.73,0.184,0.215,0.193,0.219
K20,2014,Morgan et al. - 2018 - Development of a Rigorous Modeling Framework for Solvent-Based CO2 Capture.md,2014 K campaign,"1 bed, no intercooling",1,0,3175.0,45.3,0.075,0.276,1324.0,46.09,10.98,108.12,3369.0,99.7,120.39,0.393,0.279,183.56,438.0,89.92,95.55,98.02,97.81,0.075,0.084,0.079,0.084
K21,2014,Morgan et al. - 2018 - Development of a Rigorous Modeling Framework for Solvent-Based CO2 Capture.md,2014 K campaign,"2 beds, no intercooling",2,0,3175.0,45.18,0.074,0.271,1366.0,46.11,10.18,107.76,3370.0,99.7,120.36,0.385,0.272,184.36,437.0,90.05,96.32,99.72,99.69,0.074,0.078,0.078,0.078
K22,2014,Morgan et al. - 2018 - Development of a Rigorous Modeling Framework for Solvent-Based CO2 Capture.md,2014 K campaign,"2 beds, 1 intercooler",2,1,6804.0,41.24,0.13,0.281,1379.0,46.06,10.92,107.51,7161.0,108.3,119.16,0.291,0.271,183.13,427.0,94.58,99.49,99.97,99.97,0.13,0.153,0.137,0.153
K23,2014,Morgan et al. - 2018 - Development of a Rigorous Modeling Framework for Solvent-Based CO2 Capture.md,2014 K campaign,"2 beds, 1 intercooler",2,1,6804.0,41.23,0.138,0.281,1418.0,46.11,10.13,107.37,7146.0,108.4,119.32,0.283,0.282,181.8,427.0,92.61,99.58,99.96,99.96,0.138,0.156,0.145,0.156
