source_id,evidence_category,species_or_system,quantity_type,data_level,availability,value_or_parameters,units,domain,source_locator,doi,evidence_label,use_now,limitation,next_action,zotero_collection_key,zotero_parent_key,zotero_attachment_key,local_companion_locator
Polat2023,md_self_diffusion,infinitely dilute CO2 in 50 wt% MEA,Arrhenius self-diffusivity fit,correlation_parameters,available,D0=7.77e-7; Ea=18.57; R2=0.944,D0 m2/s; Ea kJ/mol,293-353 K,"PDF page 4, Table 2",10.1016/j.fluid.2022.113587,verified,Bound/check CO2 tracer mobility trends only,Infinite-dilution self-diffusion is not Fick or Maxwell-Stefan diffusion,Acquire supplementary trajectories/data if uncertainty propagation is needed,,,,
Issue42,mobility_friction_gaps,MEAH+; MEACOO-; HCO3-; CO3^2-; H3O+; OH-,species-resolved ionic diffusivities,inventory,missing,,m2/s,not retained,Issue 42 transport inventory and report,,verified,None without an explicit declared approximation,No local source-complete ionic scalar values,Prioritize conductivity NMR or MD evidence on loaded MEA states,,,,
Issue42,mobility_friction_gaps,nine-species reactive liquid,Maxwell-Stefan or Onsager cross-friction matrix,complete_matrix,missing,,m2/s,not retained,Issue 42 Candidate B inventory and report,,verified,None,Scalar self/effective diffusivities cannot determine off-diagonal cross-friction terms,Obtain or estimate a symmetric positive-semidefinite mobility law and validate zero-current behavior,,,,
Ramezani2021,measured_film_observations,30 wt% MEA + sugar,"density, viscosity, mass-transfer, and kinetics tables",exact_supplied_si_rows,available_local_supplied_si,"Tables S1-S5 retained: 30 wt% MEA, CO2 loading 0-0.4, 298.15-343.15 K, 0-20 wt% sugar",g/cm3; mPa s; Table S5 semantic kinetics columns,298.15-343.15 K; loading 0-0.4; sugar 0-20 wt%,"supplied SI pp. 2-8, Tables S1-S5; semantic headers checked in supplied DOCX XML",10.1016/j.molliq.2021.115569,verified,Property and row-retention evidence only,"S5 semantic columns are now retained from the supplied DOCX XML; no nine-species mobility matrix",Use exact viscosity rows for normalized mobility proxy; keep S5 as retained kinetics evidence,9T8XETPA,VMZKH34U,NCLG54A3,"Downloads/Zotero-Supplements/Ramezani_2021_Supporting_Information.pdf; supplied SI child; parent key confirmed locally"
Melnikov2019,md_self_diffusion,30 wt% aqueous MEA/CO2,molecular self-diffusion coefficients,figure_trend_only,available,CO2 self-diffusion at loading 0.5 is about half pre-reaction; ESI Table S4 values absent,relative ratio,313 K; 30 wt% MEA/water; loading sweep including 0.5,PDF Fig. 5; ESI Table S4 referenced but absent,10.1039/C9CP03976G,verified,Approximate labeled CO2 trend/UQ band only,Self-diffusion is not Fick/MS mobility and exact ESI rows are not retained,Digitize only if exact ESI values become necessary,9T8XETPA,Q7YH3C6S,IZR3IG7A,Zotero storage/IZR3IG7A local PDF
Jerng2022,measured_self_diffusion,0.1 M MEA/D2O,DOSY self-diffusion,exact_anchor_values,available,MEA before CO2 8.8e-10; MEA/MEAH+ after CO2 8.4e-10; MEACOO- after CO2 6.8e-10,m2/s,0.1 M MEA/D2O; ambient DOSY conditions,PDF p. 10; transport paragraph and Fig. 7A,10.1016/j.isci.2022.104558,verified,Low-concentration self-diffusion anchors only,MEA/MEAH+ are indistinguishable; not a loaded nine-species mobility matrix,Retain as a low-concentration comparison anchor,9T8XETPA,9E3J7YTX,EV4GFTNB,Zotero storage/EV4GFTNB local PDF
Lv2026,measured_probe_diffusion,CO2-loaded 2 M MEA/DEA/TEA,ferrocenemethanol probe solution diffusion,exact_anchor_values,available_unlinked_storage,MEA 3.94e-10; DEA 3.06e-10; TEA 1.91e-10,m2/s,CO2-loaded 2 M amine solutions; test temperature not retained here,PDF p. 11979; Effect of mass transport paragraph; Fig. 6a/S8,10.1039/D6SC00859C,verified,Probe/solution transport anchor only,Probe diffusion is not species mobility or Maxwell-Stefan cross-friction,Preserve as a probe-labelled comparison point,,,,Zotero storage/IZ6ZUK7C local PDF; collection key not resolved in current DB snapshot
Huang2025,secondary_model_only,30 wt% aqueous MEA,model-only loading-shape diffusivity band,approximate_band,collection_record_no_local_attachment,D approx. 9.4e-10 to 3.8e-10 over 0-100% reaction progress,m2/s,Approximate 30 wt% MEA; 313 K; reaction progress 0-1,DOI record; exact Chinese source text not locally retained,10.16085/j.issn.1000-6613.2025-0068,reference-backed,Labeled secondary/model-only sensitivity band,Not measured species mobility and not a nine-species matrix,Acquire/inspect source and SI through approved route,9T8XETPA,BLSZVRCU,,Collection record only; no local attachment
Dugas2011_table1,measured_film_observations,MEA,wetted-wall physical liquid-film coefficient and reactive kg-prime,exact_table_rows,available,Table 1 MEA rows retained in dedicated input CSV,k_l0 m/s; kg-prime mol Pa-1 m-2 s-1; PCO2-star Pa,7/9/11/13 molal; 40/60/80/100 deg C; loading 0.231-0.502,"PDF printed p. 2189, Table 1; uncertainty note in text: loading/PCO2 +/-5%, k_l0/kg-prime +/-10%, T +/-1 K",10.1021/je101234t,verified,Dimensional independent film-trend/parity evidence,Wetted-wall physical-film data are not a nine-species mobility matrix; one kg-prime entry is not reported,Compare dimensional predictions only after source-complete film model exists,9T8XETPA,NDJWMT4H,5H55QKVX,Zotero storage/5H55QKVX local PDF
Dugas2011_model,benchmark_model_context,MEA/PZ,activity-based termolecular kinetics plus film theory,aggregate_summary_only,available,93 WWC points; 13% average deviation,percent deviation,Concentrated aqueous MEA/PZ; source model domain,PDF model paper abstract/results; exact retained row values absent,10.1016/j.ces.2011.07.011,verified,Benchmark-method context only,No exact retained rows for parity or kinetics refit,Keep separate from the dimensional Dugas Table 1 rows,9T8XETPA,XIPBV4KA,F2MHHYR4,Zotero storage/F2MHHYR4 local PDF
Ganesan2026,measured_film_observations,5 M aqueous MEA,specific absorption flux; VLE; Aspen model choices,exact_supplied_si_rows,available_local_supplied_si,"Psi=(A+B alpha) exp(C/T); A=3.92+/-0.2 m/s; B=-7.41+/-0.3 m/s; C=-1943+/-5 K; Tables S6.1/S6.2 retained",Psi m/s; ppm; reported 10^-3/10^-5 m/s,alpha 0-0.36; T 295-315 K; 5 M MEA,"PDF Eq. 22; SI p. 3 Table S3.1, p. 5 Table S4.2, pp. 10-11 Tables S6.1-S6.2",10.1016/j.ces.2025.122487,verified,Correlation and source-row context only,"SI beta is a Henry-constant correction by kinetic model; no mobility matrix, no parity reproduction, no column-height validation",Retain exact SI rows and model choices; do not fit or transplant the correlation into the film closure,9T8XETPA,KVLELL3S,77DLGVMR,"Zotero storage/EEJTGA4N local PDF; supplied SI Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf; SI child confirmed locally"
